Treaty Year,Earned Premium (USDm)
2008,3836.9348245990645
2009,4034.7581241656417
2010,3849.5943754620466
2011,4745.539326495913
2012,6085.918693254933
2013,5269.122123486572
2014,4766.8287898629305
2015,5154.08103019971
2016,5037.578378047675
2017,4852.153266430866
2018,4907.28796475644
2019,6178.958865639877
2020,6826.242172582611
2021,7322.853498160735
2022,7808.743661376159
2023,5771.800590807912
